,0
728,-160.87683242442893
729,-945.579807617887
730,-994.3541662539474
731,-354.4854454630255
732,-804.4553712446948
733,-123.40000801170174
734,-108.80995967559626
735,-126.70346098196895
736,-180.48225157631143
737,-331.01074068467716
738,-148.59206437917265
739,-324.7779233410279
740,-155.3404905145643
741,-148.685967476289
742,-326.01588613291295
743,-69.98176097114741
744,-893.6507899267133
745,-84.27386316755033
746,-192.55157036854047
747,-154.93207489340125
748,-1003.7917846219441
749,-948.385490038558
750,-341.2488334157431
751,-306.4052307523198
752,-132.45111472229848
753,-861.2620799424224
754,-949.0495031192311
755,-134.8520945324374
756,-131.2880235616671
757,-914.4205032594789
758,-148.45640147096853
759,-946.5027071926771
760,-279.03268413813095
761,-871.2316969948654
762,-78.69257362909121
763,-1040.904108462728
764,-131.47316456349813
765,-147.17123574134513
766,-156.43747357130988
767,-111.87429373558595
768,-853.8719377731443
769,-909.7939068331568
770,-895.9282053002316
771,-996.6366436424987
772,-933.3713745616627
773,-119.45209305779646
774,-75.37830625638449
775,-100.92519498139505
776,-308.6043729801778
777,-128.65427183136242
778,-123.56993958747536
779,-823.6457207876412
780,-923.6811972761005
781,-153.11941822335353
782,-890.7236407837787
783,-97.61729339988692
784,-304.6199208632229
785,-294.68248664401676
786,-175.94785534209564
787,-910.074943132186
788,-918.0271776178141
789,-307.18505778230235
790,-111.51736043082275
791,-124.56594162830358
792,-93.52840773888045
793,-892.1189375561189
794,-167.71275066713062
795,-880.0546870554483
796,-936.2842781865791
797,-339.1791638271675
798,-857.8106130510554
799,-827.2685728146504
800,-881.3206083024915
801,-144.7985511810629
802,-126.76044337737001
803,-970.4282150031785
804,-916.3714761025038
805,-921.160018628919
806,-138.92502528541468
807,-100.46377719470405
808,-957.2329706356742
809,-855.1680277133215
810,-940.1420496459887
811,-901.4690251982613
812,-144.718494439177
813,-104.5704703055572
814,-111.04859611485107
815,-821.5588748868452
816,-95.13296479736613
817,-84.1866202148101
818,-107.20725069704831
819,-141.88383805137883
820,-340.5876343566861
821,-169.39655655132202
822,-102.78049204953486
823,-132.62824967516926
824,-880.8246945337438
825,-907.8632935847526
826,-348.1345087920546
827,-307.9091466627743
828,-863.8326343891048
829,-81.6467317906182
830,-296.4334786204555
831,-324.34629528963325
832,-842.6112984885834
833,-841.5381201984155
834,-168.17822343533481
835,-135.19635004124572
836,-932.5355217885561
837,-142.54846191680338
838,-102.93382696900628
839,-845.1445876531934
840,-176.16056534264146
841,-289.9391755451582
842,-99.33717008878074
843,-963.0367897574461
844,-930.2630207727273
845,-100.35891987536846
846,-266.9993604353813
847,-832.290776715979
848,-883.7040721720862
849,-102.84198968565457
850,-847.4031492820312
851,-88.03975123447228
852,-918.6150289131807
853,-911.488835098314
854,-106.41477884982508
855,-912.679712247851
856,-286.50276672641223
857,-936.5987048250707
858,-872.2754095364794
859,-855.5039330001639
860,-326.51800083931806
861,-105.83941095642199
862,-967.5711686285091
863,-134.70029340351124
864,-914.2833924863614
865,-204.88194276589292
866,-321.09313183023266
867,-189.77668009303898
868,-892.1931579850318
869,-1017.7944310072781
870,-111.37833533228248
871,-200.09648784739733
872,-96.40146896236105
873,-297.03596663849027
874,-865.9208975075479
875,-193.95092912007865
876,-134.6481217593105
877,-266.80680102959974
878,-139.4324596355555
879,-921.1658586501948
880,-285.4535797729547
881,-341.48320944556934
882,-1052.7786807318419
883,-880.932853539871
884,-890.6158345699886
885,-140.5672502949677
886,-256.1974432854056
887,-904.0104582272561
888,-140.07567098069129
889,-97.0600224675026
890,-159.8761912080799
891,-179.086200128384
892,-82.16096432515066
893,-936.0730910558123
894,-974.1866756813407
895,-258.31937697382864
896,-200.9002959871919
897,-281.33502030548135
898,-113.1930038159862
899,-150.08261187546918
900,-876.7858346289448
901,-315.7302965430783
902,-962.8287778380924
903,-212.12779134426012
904,-843.7676147498039
905,-314.4699102617867
906,-919.577373062816
907,-1024.3764446689465
908,-859.6702457267136
909,-138.2186814540937
910,-173.1221512135511
911,-141.78572073991535
912,-983.3290065228323
913,-852.0458405641635
914,-972.6977905797712
915,-296.6477664164134
916,-139.32502062055167
917,-121.58876484139257
918,-112.72612183741528
919,-871.9129915564209
920,-340.26790847575813
921,-173.07022546223305
922,-1023.1496869934473
923,-851.7569343873744
924,-935.4105008913001
925,-163.4654779641928
926,-87.87489542778347
927,-94.16796548469496
928,-122.43518478844419
929,-157.09719458900443
930,-927.1154301231006
931,-101.61592641010986
932,-862.4210184631551
933,-110.90517896675402
934,-138.37161488188346
935,-95.10846917969165
936,-134.90851877130922
937,-266.48290133431834
938,-183.75019789354073
939,-870.0552842138861
940,-256.78243351185176
941,-323.35064001110914
942,-946.9802103655861
943,-844.264273494164
944,-960.3005809144933
945,-117.11030903229094
946,-117.08597152133214
947,-925.5780967869305
948,-221.4587727306439
949,-268.18259340273835
950,-121.83690377420362
951,-93.86427212471338
952,-838.9780428665764
953,-113.99157736395416
954,-881.324921232507
955,-119.02152829524296
956,-77.73329518207238
957,-882.0567994941646
